Date,Day,Total_Sales_OMR,Cash_OMR,Visa_OMR,Bank_Transfer_OMR,Flower_Buy_OMR,Other_Expenses_OMR,Cash_Available_OMR
01/05/2026,Friday,28.0,4.7,23.3,0.0,0.0,0.0,23.4
02/05/2026,Saturday,54.0,4.7,31.8,17.5,0.0,0.0,28.1
03/05/2026,Sunday,17.2,0.0,7.2,10.0,0.0,1.1,27.0
04/05/2026,Monday,27.0,0.0,27.0,0.0,18.5,0.0,8.5
05/05/2026,Tuesday,40.1,12.5,21.6,6.0,13.1,0.0,7.9
06/05/2026,Wednesday,78.1,25.3,52.8,0.0,9.5,8.0,23.7
07/05/2026,Thursday,47.4,2.4,45.0,0.0,0.0,0.0,26.1
08/05/2026,Friday,20.9,7.9,13.0,0.0,25.4,0.0,8.6
09/05/2026,Saturday,5.4,1.9,3.5,0.0,0.0,1.4,9.1
10/05/2026,Sunday,25.9,10.0,15.9,0.0,9.0,0.0,10.1
11/05/2026,Monday,42.0,3.0,39.0,0.0,0.0,0.0,13.1
12/05/2026,Tuesday,9.5,0.0,9.5,0.0,0.0,0.0,13.1
13/05/2026,Wednesday,121.6,13.9,85.7,22.0,15.0,0.0,12.0
14/05/2026,Thursday,35.8,0.3,30.5,5.0,17.789,0.0,12.3
15/05/2026,Friday,50.4,6.7,28.7,15.0,0.0,0.0,19.0
