Date,Day,Item,Amount_OMR,Payment_Method,Time
01/05/2026,Friday,Rose,2.0,Cash,Yesterday
01/05/2026,Friday,Card,3.0,Visa,10:29
01/05/2026,Friday,Flower,4.0,Visa,11:01
01/05/2026,Friday,Flower,14.0,Cash,11:01
01/05/2026,Friday,Flower Bouquet,5.0,Visa,—
01/05/2026,Friday,Flower,14.0,Visa,19:00
02/05/2026,Saturday,Flower Bouquet,4.0,Cash,Yesterday
02/05/2026,Saturday,Flower Bouquet,10.0,Visa,10:50
02/05/2026,Saturday,Raping 6pcs,6.0,Visa,11:59
02/05/2026,Saturday,Rose 25pcs,12.5,B.TR,—
02/05/2026,Saturday,Rose,0.6,Visa,14:05
02/05/2026,Saturday,Flower,4.2,Visa,19:13
02/05/2026,Saturday,Rose,0.7,Cash,—
02/05/2026,Saturday,Flower Bouquet,10.0,Visa,20:08
02/05/2026,Saturday,Rose,2.0,Visa,21:22
03/05/2026,Sunday,Flower,4.5,Visa,11:29
03/05/2026,Sunday,Rose,0.2,Visa,16:35
03/05/2026,Sunday,Flower Bouquet,10.0,B.TR,5:00
03/05/2026,Sunday,Flower,2.0,Visa,21:29
04/05/2026,Monday,Flower Vase,14.5,Visa,14:00
04/05/2026,Monday,Flower Bouquet,6.0,Visa,16:49
04/05/2026,Monday,Flower,3.0,Visa,21:54
04/05/2026,Monday,Raping,3.5,Visa,22:15
05/05/2026,Tuesday,Flower Bouquet,5.0,Cash,10:40
05/05/2026,Tuesday,Flower,5.0,Visa,11:10
05/05/2026,Tuesday,Rose,1.4,Cash,—
05/05/2026,Tuesday,Rose,0.7,Cash,—
05/05/2026,Tuesday,Rose,20.7,Cash,—
05/05/2026,Tuesday,Rose Flower,6.0,B.TR,—
05/05/2026,Tuesday,Rose Flower Bouquet,5.0,Visa,—
05/05/2026,Tuesday,Raping,1.7,Visa,16:34
05/05/2026,Tuesday,Raping,1.5,Cash,8:05
05/05/2026,Tuesday,Rose,2.1,Visa,—
05/05/2026,Tuesday,Rose,1.4,Visa,21:07
05/05/2026,Tuesday,Rose,1.4,Visa,22:21
